iter	Passed	Remaining
0	188	188060
1	199	99378
2	210	70106
3	220	54895
4	231	46031
5	240	39919
6	250	35595
7	261	32454
8	272	30000
9	283	28044
10	294	26493
11	304	25109
12	315	23946
13	326	22997
14	338	22207
15	349	21508
16	360	20849
17	371	20279
18	384	19848
19	394	19341
20	405	18926
21	417	18538
22	428	18202
23	441	17944
24	452	17644
25	462	17342
26	474	17086
27	487	16917
28	498	16681
29	508	16445
30	521	16300
31	532	16119
32	544	15955
33	556	15803
34	569	15697
35	582	15594
36	594	15463
37	606	15354
38	620	15279
39	632	15182
40	645	15096
41	657	15004
42	668	14884
43	681	14800
44	692	14705
45	703	14593
46	714	14478
47	726	14403
48	736	14291
49	746	14192
50	759	14139
51	772	14079
52	783	13991
53	810	14193
54	819	14078
55	828	13960
56	838	13872
57	848	13786
58	857	13681
59	867	13584
60	876	13489
61	888	13438
62	897	13351
63	906	13262
64	917	13190
65	926	13109
66	935	13020
67	944	12947
68	954	12876
69	964	12813
70	973	12743
71	984	12694
72	993	12620
73	1004	12569
74	1017	12549
75	1029	12513
76	1038	12452
77	1048	12396
78	1059	12349
79	1069	12301
80	1080	12261
81	1091	12221
82	1102	12183
83	1113	12139
84	1122	12087
85	1135	12069
86	1147	12037
87	1159	12021
88	1170	11976
89	1205	12189
90	1225	12244
91	1243	12270
92	1263	12324
93	1283	12369
94	1305	12439
95	1319	12421
96	1331	12396
97	1346	12393
98	1369	12460
99	1382	12443
100	1394	12415
101	1407	12393
102	1419	12359
103	1430	12327
104	1444	12313
105	1455	12274
106	1464	12225
107	1475	12189
108	1486	12151
109	1495	12102
110	1508	12082
111	1521	12065
112	1535	12054
113	1548	12038
114	1563	12031
115	1576	12017
116	1591	12011
117	1603	11986
118	1616	11967
119	1627	11936
120	1639	11912
121	1650	11879
122	1661	11847
123	1673	11821
124	1685	11796
125	1699	11788
126	1710	11760
127	1721	11726
128	1734	11712
129	1747	11694
130	1759	11670
131	1771	11649
132	1782	11619
133	1792	11586
134	1803	11556
135	1814	11525
136	1825	11499
137	1837	11477
138	1849	11456
139	1861	11435
140	1874	11420
141	1885	11394
142	1897	11368
143	1910	11354
144	1921	11330
145	1931	11298
146	1945	11286
147	1956	11262
148	1969	11251
149	1981	11230
150	1993	11209
151	2007	11200
152	2021	11192
153	2033	11169
154	2043	11139
155	2056	11125
156	2066	11098
157	2077	11073
158	2090	11057
159	2101	11031
